"","TWII.Open","TWII.High","TWII.Low","TWII.Close","TWII.Volume","TWII.Adjusted"
"2007-04-11",8073.669922,8105.819824,8055.669922,8084.450195,4297800,8084.419434
"2007-04-12",8043.779785,8090.939941,8039.129883,8075.200195,4192200,8075.169434
"2007-04-13",8100.080078,8108.5,7999.689941,8002.299805,4552400,8002.269043
"2007-04-16",8088.830078,8096.839844,8030.5,8043.540039,4500200,8043.509277
"2007-04-17",8100.609863,8100.609863,7952.180176,7959.290039,5567400,7959.259766
"2007-04-18",7981.359863,8003.310059,7946.350098,8003.310059,3931400,8003.279297
"2007-04-19",7978.589844,7991.689941,7883.919922,7888.629883,4428800,7888.599609
"2007-04-20",7915.910156,7945.700195,7912.490234,7942.669922,3683600,7942.639648
"2007-04-23",8009.549805,8062.700195,8006.419922,8010.459961,4000600,8010.429199
"2007-04-24",8011.810059,8051.669922,7998.220215,8045.009766,4030600,8044.979004
"2007-04-25",8035.740234,8041.27002,7984.649902,7984.649902,3929400,7984.619141
"2007-04-26",8046.720215,8052.549805,8000.040039,8000.040039,3566400,8000.009277
"2007-04-27",8019.490234,8026.509766,7949.419922,7949.419922,3479200,7949.389648
"2007-04-30",7956.029785,7956.029785,7843.049805,7875.419922,3466400,7875.390137
"2007-05-02",7900.759766,7951.689941,7890.540039,7903.040039,3193200,7903.009766
"2007-05-03",7954.160156,7965.930176,7861.430176,7926.660156,4287600,7926.629883
"2007-05-04",7990.970215,8066.060059,7990.970215,8066.060059,3767600,8066.029297
"2007-05-07",8122.200195,8132.799805,8095.040039,8115.27002,3750000,8115.239258
"2007-05-08",8111.509766,8113.310059,8083.180176,8095.839844,2965800,8095.809082
"2007-05-09",8092.100098,8093.509766,8043.459961,8052.700195,2886200,8052.669434
"2007-05-10",8094.720215,8105.089844,8071.5,8096.859863,3357000,8096.829102
"2007-05-11",8026.359863,8049.5,8018.640137,8031.540039,2934200,8031.509277
"2007-05-14",8072.149902,8072.149902,8013.830078,8030.560059,2857600,8030.529297
"2007-05-15",8022.580078,8041.549805,7968.919922,7975.029785,2612000,7974.999512
"2007-05-16",7988.970215,8014.879883,7978.25,7988.569824,2492000,7988.539063
"2007-05-17",8029.600098,8080.629883,8029.600098,8037.959961,3142400,8037.929199
"2007-05-18",8066.009766,8075.209961,8013.890137,8034.140137,2836000,8034.109375
"2007-05-21",8067.22998,8159.259766,8043.899902,8141.589844,3614200,8141.559082
"2007-05-22",8158.990234,8205.889648,8158.290039,8188.629883,4077400,8188.599121
"2007-05-23",8232.530273,8256.25,8214.580078,8221.790039,3983000,8221.757813
"2007-05-24",8231.650391,8249.480469,8207.959961,8216.410156,3395800,8216.37793
"2007-05-25",8170.580078,8170.580078,8130.169922,8159.970215,3235600,8159.939453
"2007-05-28",8194.830078,8201.650391,8154.220215,8156.819824,2887600,8156.789063
"2007-05-29",8178.700195,8229.44043,8166.459961,8181.490234,3047000,8181.459473
"2007-05-30",8163.810059,8177.759766,8110.279785,8147.339844,3248600,8147.309082
"2007-05-31",8204.719727,8220.80957,8144.950195,8144.950195,4230600,8144.919434
"2007-06-01",8236.759766,8261.669922,8224.280273,8249.900391,4198400,8249.868164
"2007-06-04",8310.089844,8317.599609,8282.790039,8294.790039,4053200,8294.757813
"2007-06-05",8321.419922,8321.419922,8267.589844,8303.990234,4299400,8303.958008
"2007-06-06",8330.719727,8376.969727,8313.589844,8314.679688,4775800,8314.647461
"2007-06-07",8298.969727,8368.55957,8263.610352,8355.259766,3844000,8355.227539
"2007-06-08",8288.259766,8308.450195,8279.959961,8300.709961,4241600,8300.677734
"2007-06-11",8351.030273,8359.75,8328.610352,8338.879883,4133600,8338.847656
"2007-06-12",8371.700195,8396.219727,8345.009766,8370.259766,4774400,8370.227539
"2007-06-13",8388.490234,8388.490234,8336.530273,8346.389648,4398600,8346.357422
"2007-06-14",8421.209961,8476.129883,8409,8450.719727,4853400,8450.6875
"2007-06-15",8519.379883,8578.330078,8511.070313,8573.639648,5280000,8573.607422
"2007-06-20",8651.259766,8761.879883,8636.469727,8755.879883,6320400,8755.847656
"2007-06-21",8789.089844,8871.719727,8722.150391,8851.990234,5581200,8851.958008
"2007-06-22",8879.990234,8884.030273,8799.290039,8846.389648,5979200,8846.357422
"2007-06-25",8882.299805,8985.929688,8882.299805,8939.19043,6503800,8939.157227
"2007-06-26",8965.820313,8983.959961,8856.290039,8865.75,5709600,8865.717773
"2007-06-27",8862.290039,8887.879883,8820.679688,8844.219727,5225800,8844.1875
"2007-06-28",8914.69043,8914.69043,8841.959961,8892.830078,5698600,8892.796875
"2007-06-29",8932.179688,8932.950195,8849.040039,8883.209961,5464800,8883.176758
"2007-07-02",8903.769531,8939.490234,8849.349609,8939.490234,5468400,8939.457031
"2007-07-03",8983.240234,9019.929688,8977.089844,8996.200195,6580400,8996.166992
"2007-07-04",9069.320313,9112.740234,9034.5,9068.980469,7220200,9068.946289
"2007-07-05",9114.05957,9148.780273,9086.19043,9148.780273,7038200,9148.746094
"2007-07-06",9169.55957,9199.660156,9118.259766,9188.30957,7483000,9188.275391
"2007-07-09",9246.44043,9369.839844,9239.200195,9369.839844,8013400,9369.805664
"2007-07-10",9404.759766,9404.759766,9306.620117,9384.730469,7632600,9384.696289
"2007-07-11",9322.69043,9341.320313,9263.259766,9290.950195,8176800,9290.916016
"2007-07-12",9346.950195,9400.370117,9316.910156,9354.410156,8373600,9354.375977
"2007-07-13",9530.719727,9540.349609,9411.040039,9471.299805,8507000,9471.264648
"2007-07-16",9514.089844,9539.200195,9403.730469,9417.320313,8678600,9417.286133
"2007-07-17",9444.870117,9513.950195,9337.669922,9509.730469,7041800,9509.695313
"2007-07-18",9512.389648,9574.69043,9482.549805,9485.349609,9296000,9485.314453
"2007-07-19",9449.719727,9529.349609,9441.790039,9473.30957,8738400,9473.274414
"2007-07-20",9537.240234,9585.900391,9487.950195,9585.900391,7902400,9585.864258
"2007-07-23",9576.05957,9637.179688,9563.719727,9621.570313,7442400,9621.53418
"2007-07-24",9674.240234,9745.320313,9643.269531,9744.05957,9247000,9744.022461
"2007-07-25",9683.969727,9763.259766,9656.040039,9740.129883,8173600,9740.092773
"2007-07-26",9793.759766,9807.910156,9566.419922,9566.419922,10397800,9566.383789
"2007-07-27",9244.620117,9376.950195,9162.280273,9162.280273,9371200,9162.246094
"2007-07-30",9037.349609,9136.450195,8996.80957,9072.570313,7294800,9072.536133
"2007-07-31",9211.799805,9307.80957,9173.480469,9287.25,7159400,9287.21582
"2007-08-01",9188.599609,9265.700195,8891.879883,8891.879883,8423400,8891.84668
"2007-08-02",9076.110352,9080.070313,8727.639648,8950.570313,7133200,8950.537109
"2007-08-03",9104.339844,9134.599609,9025.700195,9057.820313,5842800,9057.786133
"2007-08-06",8865.580078,8960.75,8856.910156,8941.730469,4639600,8941.697266
"2007-08-07",9068.040039,9068.830078,8862.30957,8862.30957,4858800,8862.277344
"2007-08-08",8961.120117,9099.459961,8938.540039,9099.459961,4875000,9099.425781
"2007-08-09",9213.469727,9219.019531,9140.469727,9182.599609,5712600,9182.56543
"2007-08-10",8870.269531,8969.30957,8870.269531,8931.30957,5535000,8931.276367
"2007-08-13",9030.820313,9030.929688,8913.400391,8938.959961,5061000,8938.926758
"2007-08-14",8952.540039,9023.259766,8840.259766,8910.990234,4770600,8910.957031
"2007-08-15",8782.049805,8808.589844,8561.019531,8593.040039,5640000,8593.007813
"2007-08-16",8397.240234,8438.080078,8166.080078,8201.370117,5927000,8201.337891
"2007-08-17",8209.910156,8307.370117,7987.609863,8090.290039,5981200,8090.259277
"2007-08-20",8496.969727,8516.75,8397.259766,8515.599609,4327200,8515.567383
"2007-08-21",8542.129883,8586.730469,8424.009766,8479.080078,4632800,8479.047852
"2007-08-22",8487.240234,8512.450195,8432.320313,8493.459961,4030000,8493.427734
"2007-08-23",8699.400391,8735.099609,8686.05957,8732.839844,4880200,8732.807617
"2007-08-24",8727.089844,8741.639648,8668.049805,8690.089844,4262400,8690.057617
"2007-08-27",8849.959961,8849.959961,8704.589844,8718.30957,3802600,8718.277344
"2007-08-28",8697.150391,8753.389648,8672.80957,8727.549805,3465200,8727.517578
"2007-08-29",8514.469727,8643.320313,8514.469727,8643.320313,4016600,8643.288086
"2007-08-30",8782.349609,8825.919922,8750.620117,8771.209961,4963200,8771.177734
"2007-08-31",8807.700195,8982.160156,8785.700195,8982.160156,5018800,8982.126953
"2007-09-03",9018.889648,9019.410156,8947.05957,8979.959961,4732000,8979.926758
"2007-09-04",9019.610352,9027.769531,8883.870117,8922.980469,4340200,8922.947266
"2007-09-05",9017.509766,9026.299805,8902.139648,8913.849609,4022400,8913.816406
"2007-09-06",8896.669922,9017.080078,8841.639648,9017.080078,3979000,9017.046875
"2007-09-07",9056.139648,9078.469727,9000.950195,9018.080078,4220600,9018.046875
"2007-09-10",8868,8953.450195,8845.900391,8937.580078,3702800,8937.546875
"2007-09-11",8981.339844,9017.299805,8953.370117,9003.120117,4252000,9003.086914
"2007-09-12",9078.089844,9084.969727,9011.259766,9018.120117,4346400,9018.086914
"2007-09-13",9062.30957,9062.30957,8924.620117,8927.419922,4022800,8927.386719
"2007-09-14",8995.530273,9046.509766,8952.879883,9031.629883,3897200,9031.59668
"2007-09-17",9039.280273,9044.370117,8874.709961,8899.910156,3917000,8899.876953
"2007-09-18",NA,NA,NA,NA,NA,NA
"2007-09-19",9090.900391,9090.900391,8900.799805,8926.379883,5922000,8926.34668
"2007-09-20",8987.519531,9109.519531,8950.620117,8983.030273,4652800,8982.99707
"2007-09-21",9018.679688,9105.280273,8994.009766,9105.280273,5025000,9105.246094
"2007-09-26",9180.929688,9269.620117,9178.769531,9257.469727,5422200,9257.435547
"2007-09-27",9337.040039,9413.650391,9291.719727,9413.650391,6081200,9413.616211
"2007-09-28",9447.330078,9474.049805,9411.950195,9411.950195,5558800,9411.916016
"2007-10-01",9523.980469,9555.070313,9474.400391,9488.5,6169000,9488.464844
"2007-10-02",9597.959961,9642.950195,9582.700195,9623.25,6702600,9623.213867
"2007-10-03",9650.030273,9783.75,9618.139648,9700.070313,6654200,9700.033203
"2007-10-04",9663.530273,9676.349609,9574.009766,9627.389648,5009200,9627.353516
"2007-10-05",9645.629883,9670.129883,9565,9617.259766,4570200,9617.223633
"2007-10-08",9736.929688,9744.969727,9683.139648,9717.169922,5043600,9717.132813
"2007-10-09",9743.610352,9743.610352,9591.94043,9639.830078,5534400,9639.793945
"2007-10-11",9707.929688,9729.469727,9661.230469,9697.669922,5261600,9697.632813
"2007-10-12",9677.330078,9731.160156,9490.009766,9496.469727,5735600,9496.43457
"2007-10-15",9565.360352,9577.040039,9431.660156,9518.450195,4416000,9518.415039
"2007-10-16",9468.879883,9618.030273,9461.269531,9592.469727,5134200,9592.433594
"2007-10-17",9582.19043,9616.259766,9492.889648,9562.160156,4530400,9562.124023
"2007-10-18",9605.490234,9667.070313,9574.959961,9637.070313,5548400,9637.03418
"2007-10-19",9666.580078,9673.959961,9609.580078,9611.719727,4674200,9611.683594
"2007-10-22",9278.889648,9381.650391,9275.719727,9360.629883,4841400,9360.595703
"2007-10-23",9419.540039,9512.55957,9419.540039,9502.389648,4732400,9502.354492
"2007-10-24",9593.200195,9640.490234,9442.620117,9442.620117,4686600,9442.585938
"2007-10-25",9546.849609,9573.290039,9503.830078,9568.259766,4653800,9568.223633
"2007-10-26",9637.490234,9661.94043,9573,9631.509766,4960800,9631.473633
"2007-10-29",9743.730469,9822.370117,9735.429688,9809.879883,5997200,9809.842773
"2007-10-30",9854.269531,9859.650391,9727.580078,9757.929688,5465400,9757.892578
"2007-10-31",9777.580078,9787.900391,9664.639648,9711.370117,5636800,9711.333008
"2007-11-01",9780.589844,9785.75,9556.219727,9598.230469,6153600,9598.194336
"2007-11-02",9373.410156,9433.070313,9248.339844,9273.089844,5893000,9273.055664
"2007-11-05",9251.860352,9313.849609,9129.490234,9308.599609,5045200,9308.56543
"2007-11-06",9324.610352,9368.459961,9278.009766,9292.799805,4565600,9292.765625
"2007-11-07",9437.429688,9437.429688,9300.219727,9300.219727,5016400,9300.185547
"2007-11-08",9096.030273,9105.629883,8890.099609,8937.580078,5887000,8937.546875
"2007-11-09",8962.240234,9016.730469,8853.80957,8970.919922,5196200,8970.886719
"2007-11-12",8755.370117,8765.509766,8626.580078,8670.610352,4941200,8670.578125
"2007-11-13",8673.200195,8742.410156,8599.389648,8727.209961,4718400,8727.177734
"2007-11-14",8965.660156,8993.889648,8940.959961,8942.929688,4834800,8942.896484
"2007-11-15",8920.030273,8962.209961,8897.889648,8905.410156,3789200,8905.376953
"2007-11-16",8767.209961,8790.570313,8678.549805,8764.820313,4065000,8764.788086
"2007-11-19",8818.419922,8838.280273,8680.709961,8680.709961,3681800,8680.677734
"2007-11-20",8483.610352,8680.860352,8372.049805,8680.860352,4796600,8680.828125
"2007-11-21",8676.959961,8704.080078,8484.110352,8484.110352,4278200,8484.078125
"2007-11-22",8431.030273,8573.740234,8390.849609,8499.370117,3930800,8499.337891
"2007-11-23",8550.700195,8559.049805,8342.200195,8342.200195,3927200,8342.167969
"2007-11-26",8462.929688,8534.269531,8407.339844,8528.330078,3959000,8528.297852
"2007-11-27",8319.69043,8454.360352,8207.969727,8375.759766,4142800,8375.727539
"2007-11-28",8429.089844,8440.120117,8276.259766,8276.259766,3672600,8276.227539
"2007-11-29",8454.570313,8481.450195,8376.089844,8447.030273,4048000,8446.998047
"2007-11-30",8499.230469,8590.629883,8499.230469,8586.400391,4540600,8586.368164
"2007-12-03",8623.120117,8645.620117,8565.080078,8583.839844,3307600,8583.807617
"2007-12-04",8557.320313,8656.889648,8557,8651.280273,3484000,8651.248047
"2007-12-05",8626.519531,8705.870117,8601.129883,8676.950195,4147000,8676.917969
"2007-12-06",8784.69043,8797.610352,8654.860352,8694.410156,4336000,8694.37793
"2007-12-07",8774.570313,8804.929688,8722.379883,8722.379883,4121200,8722.347656
"2007-12-10",8700.480469,8706.580078,8594.950195,8598.030273,3179600,8597.998047
"2007-12-11",8648.879883,8659.360352,8569.540039,8638.330078,3011800,8638.297852
"2007-12-12",8495.589844,8554.120117,8451.650391,8490.839844,3783000,8490.807617
"2007-12-13",8485.55957,8522.139648,8187.950195,8187.950195,4780800,8187.919434
"2007-12-14",8186.25,8202.94043,7922.660156,8118.080078,5018200,8118.049316
"2007-12-17",8041.600098,8092.959961,7830.850098,7830.850098,4238600,7830.820801
"2007-12-18",7730.790039,7913.879883,7664.620117,7807.390137,5093400,7807.361328
"2007-12-19",7881.009766,8020.390137,7865.47998,8014.310059,4126800,8014.279297
"2007-12-20",8044.169922,8048,7840.709961,7857.080078,3574200,7857.050293
"2007-12-21",7903.140137,8006.560059,7810.27002,7941.439941,4020400,7941.409668
"2007-12-24",8074.439941,8135.47998,8061.310059,8135.47998,3149200,8135.449219
"2007-12-25",8166.180176,8181.609863,8119.850098,8167.069824,3340600,8167.039063
"2007-12-26",8125.450195,8173.899902,8071.629883,8156.390137,2853000,8156.359375
"2007-12-27",8169.189941,8355.280273,8169.189941,8313.719727,4360200,8313.6875
"2007-12-28",8269.320313,8460.179688,8269.320313,8396.950195,4325200,8396.917969
"2007-12-31",8450.320313,8506.280273,8414.790039,8506.280273,3607200,8506.248047
"2008-01-02",8491.570313,8532.919922,8319.580078,8323.049805,4372600,8323.017578
"2008-01-03",8171.680176,8243.929688,8130.410156,8184.200195,3636400,8184.169434
"2008-01-04",8134.040039,8247.179688,8097.850098,8221.099609,4603600,8221.067383
"2008-01-07",7959.919922,8015.930176,7883.370117,7883.370117,4539800,7883.339844
"2008-01-08",7909.259766,8011.069824,7895.779785,7962.910156,4618800,7962.879883
"2008-01-09",7842.160156,8085.060059,7818.310059,8085.060059,4682400,8085.029297
"2008-01-10",8153.080078,8177.129883,8057.27002,8057.27002,4480000,8057.239258
"2008-01-11",8134.109863,8151.950195,8026.339844,8029.310059,3920400,8029.279297
"2008-01-14",8254,8260.879883,8097.680176,8173.410156,6106000,8173.379395
"2008-01-15",8316.240234,8546.200195,8312.019531,8428.839844,7548600,8428.807617
"2008-01-16",8286.30957,8375.05957,8179.540039,8179.540039,7645200,8179.509277
"2008-01-17",8245.19043,8300.290039,8004.470215,8101.629883,6393800,8101.599121
"2008-01-18",7934.859863,8184.649902,7883.910156,8184.649902,5977400,8184.619141
"2008-01-21",8167.47998,8220.629883,8099.589844,8110.200195,5519000,8110.169434
"2008-01-22",7595.169922,7741.990234,7566.75,7581.959961,4674600,7581.931152
"2008-01-23",7708.27002,7708.27002,7384.609863,7408.399902,5692200,7408.37207
"2008-01-24",7639.22998,7653.080078,7412.970215,7517.049805,5326400,7517.021484
"2008-01-25",7648.290039,7739.589844,7648.290039,7739.589844,4640400,7739.561035
"2008-01-28",7678.810059,7705.609863,7478.200195,7485.790039,3969400,7485.762207
"2008-01-29",7593.709961,7603.379883,7447.439941,7576.419922,3867400,7576.391113
"2008-01-30",7604.290039,7667.069824,7507.52002,7543.5,4061000,7543.47168
"2008-01-31",7528.180176,7579.430176,7400.740234,7521.129883,4342600,7521.101563
"2008-02-01",7613.580078,7706.029785,7583.649902,7673.990234,4123200,7673.961426
"2008-02-12",7568.299805,7619.97998,7530.370117,7553.299805,3811000,7553.270996
"2008-02-13",7644.799805,7655.890137,7533.600098,7550.549805,3561200,7550.520996
"2008-02-14",7711.450195,7865.279785,7707,7865.279785,4326600,7865.25
"2008-02-15",7766.490234,7888.149902,7761.930176,7876.370117,3882600,7876.340332
"2008-02-18",7925.299805,7988.02002,7872.709961,7890.899902,4036800,7890.869629
"2008-02-19",7985.470215,8024.410156,7932.790039,8024.410156,4502800,8024.379395
"2008-02-20",8000.120117,8040.830078,7855.47998,7894.470215,4148400,7894.439941
"2008-02-21",7982.350098,8085.930176,7972.129883,8085.930176,4585400,8085.899414
"2008-02-22",8013.350098,8108.709961,7986.970215,8108.709961,4923400,8108.679199
"2008-02-25",8228.919922,8307.75,8228.919922,8286.30957,6325000,8286.277344
"2008-02-26",8379.549805,8386.540039,8258.870117,8307.669922,6403800,8307.637695
"2008-02-27",8401.120117,8462.080078,8362.94043,8462.080078,6403600,8462.047852
"2008-02-29",8367.450195,8473.709961,8367.450195,8412.759766,5924600,8412.727539
"2008-03-03",8213.700195,8265.849609,8147.27002,8262.870117,5371400,8262.837891
"2008-03-04",8279.019531,8471.070313,8279.019531,8470.110352,6154200,8470.078125
"2008-03-05",8493.969727,8559.589844,8439.349609,8483.950195,6387800,8483.917969
"2008-03-06",8559.080078,8658.639648,8526.370117,8658.639648,6635600,8658.607422
"2008-03-07",8537.240234,8624.650391,8513.240234,8531.379883,6186600,8531.347656
"2008-03-10",8500.80957,8507.290039,8286.570313,8299.370117,5125200,8299.337891
"2008-03-11",8206.740234,8381.599609,8206.740234,8381.599609,4787000,8381.567383
"2008-03-12",8577.849609,8577.849609,8424.099609,8435.299805,5224600,8435.267578
"2008-03-13",8408.459961,8447.980469,8198.769531,8210.990234,4257000,8210.958008
"2008-03-14",8293.120117,8315.230469,8120.490234,8161.390137,4559200,8161.359375
"2008-03-17",8041.310059,8053.080078,7900.799805,8005.459961,4595400,8005.429199
"2008-03-18",8039.290039,8082.569824,7955.47998,8057.819824,4114800,8057.789063
"2008-03-19",8215.799805,8233.469727,8142.72998,8179.350098,4831800,8179.319336
"2008-03-20",8151.529785,8343.379883,8124.669922,8337.620117,5514200,8337.587891
"2008-03-21",8453.55957,8539.910156,8412.519531,8524.990234,6460000,8524.958008
"2008-03-24",9049.230469,9049.230469,8781.019531,8865.349609,8697000,8865.317383
"2008-03-25",8853.780273,8899.259766,8761.009766,8795.089844,6914000,8795.057617
"2008-03-26",8776.19043,8842.519531,8712.389648,8768.019531,6933600,8767.987305
"2008-03-27",8698.160156,8708.919922,8559.099609,8605.950195,6124400,8605.917969
"2008-03-28",8591.910156,8668.219727,8564.030273,8623.480469,5444200,8623.448242
"2008-03-31",8605.900391,8627.530273,8499.030273,8572.589844,4984600,8572.557617
"2008-04-01",8593.200195,8608.950195,8419.719727,8419.719727,5053400,8419.6875
"2008-04-02",8578.589844,8619.780273,8519.669922,8605.320313,5023400,8605.288086
"2008-04-03",8593.849609,8621.589844,8555.620117,8596.339844,4691600,8596.307617
"2008-04-07",8638.629883,8729.790039,8619.990234,8729.790039,4730800,8729.757813
"2008-04-08",8717.05957,8725.69043,8672.849609,8672.849609,4826000,8672.817383
"2008-04-09",8684.660156,8759.75,8628.620117,8667.929688,5174000,8667.897461
"2008-04-10",8682.099609,8829.400391,8681.889648,8829.400391,4983000,8829.368164
"2008-04-11",8872.650391,8937.120117,8840.040039,8909.580078,7167000,8909.546875
"2008-04-14",8877.469727,8928.870117,8839.120117,8892.679688,6673800,8892.646484
"2008-04-15",8931.080078,8951.55957,8885.320313,8924.780273,6236200,8924.74707
"2008-04-16",9007.629883,9068.969727,8981.910156,9066.040039,7499400,9066.005859
"2008-04-17",9185.580078,9194.860352,9063.69043,9090.429688,8117200,9090.395508
"2008-04-18",9092.929688,9123.070313,9025.009766,9074.339844,6308800,9074.305664
"2008-04-21",9156.769531,9160.099609,9047.660156,9083.320313,6144600,9083.286133
"2008-04-22",9067.900391,9081.290039,8997.019531,9037.25,5248000,9037.216797
"2008-04-23",9032.610352,9079.429688,8951.530273,9008.490234,5812200,9008.457031
"2008-04-24",9025.469727,9064.150391,8974.790039,8990.330078,5208400,8990.296875
"2008-04-25",9053.299805,9062.969727,8945.219727,8947.830078,5443800,8947.796875
"2008-04-28",8965.730469,9079.599609,8953.950195,9079.599609,5140800,9079.56543
"2008-04-29",9056.160156,9077.769531,8891.740234,8891.740234,5244800,8891.707031
"2008-04-30",8917.620117,8962.990234,8882.570313,8919.919922,5097200,8919.886719
"2008-05-02",8998.05957,9010.709961,8950.280273,8963.629883,5657600,8963.59668
"2008-05-05",8968.540039,8976.219727,8814.480469,8837.070313,5174600,8837.038086
"2008-05-06",8852.200195,8862.5,8782.959961,8857.370117,4739600,8857.337891
"2008-05-07",8919.929688,8977.900391,8902.19043,8926.339844,5208200,8926.306641
"2008-05-08",8865.730469,8880.709961,8806.990234,8866.620117,5033200,8866.587891
"2008-05-09",8895.049805,8896.30957,8792.389648,8792.389648,5184000,8792.357422
"2008-05-12",8808.589844,8838.990234,8754.269531,8830.049805,4324000,8830.017578
"2008-05-13",8894.94043,8995.349609,8859.240234,8989.530273,4869000,8989.49707
"2008-05-14",9038.849609,9056.799805,8994.169922,9018.419922,4821000,9018.386719
"2008-05-15",9093.209961,9158.950195,9087.950195,9157.179688,6043800,9157.145508
